tid,state,result,misc
0,2,"{'loss': 0.07850375472702703, 'status': 'ok'}","{'tid': 0, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [0], 'dropout': [0], 'epochs': [0], 'lr': [0], 'units': [0]}, 'vals': {'batch_size': [2], 'dropout': [0.23479831339611615], 'epochs': [1], 'lr': [0.0024685764634225114], 'units': [2]}}"
1,2,"{'loss': 0.07877548591333258, 'status': 'ok'}","{'tid': 1, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [1], 'dropout': [1], 'epochs': [1], 'lr': [1], 'units': [1]}, 'vals': {'batch_size': [0], 'dropout': [0.15033360081102512], 'epochs': [0], 'lr': [0.0035295614340879753], 'units': [2]}}"
2,2,"{'loss': 0.07795881160775774, 'status': 'ok'}","{'tid': 2, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [2], 'dropout': [2], 'epochs': [2], 'lr': [2], 'units': [2]}, 'vals': {'batch_size': [0], 'dropout': [0.19820039849910445], 'epochs': [2], 'lr': [0.0009669305941869585], 'units': [1]}}"
3,2,"{'loss': 0.07886824403592024, 'status': 'ok'}","{'tid': 3, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [3], 'dropout': [3], 'epochs': [3], 'lr': [3], 'units': [3]}, 'vals': {'batch_size': [2], 'dropout': [0.3217837477853426], 'epochs': [0], 'lr': [0.0010003943623805218], 'units': [0]}}"
4,2,"{'loss': 0.0775287201012587, 'status': 'ok'}","{'tid': 4, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [4], 'dropout': [4], 'epochs': [4], 'lr': [4], 'units': [4]}, 'vals': {'batch_size': [1], 'dropout': [0.051991754137527484], 'epochs': [1], 'lr': [0.0006360740183987582], 'units': [0]}}"
5,2,"{'loss': 0.07984860747765972, 'status': 'ok'}","{'tid': 5, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [5], 'dropout': [5], 'epochs': [5], 'lr': [5], 'units': [5]}, 'vals': {'batch_size': [0], 'dropout': [0.3027079559780437], 'epochs': [0], 'lr': [0.0005112282176187796], 'units': [0]}}"
6,2,"{'loss': 0.0804852614948257, 'status': 'ok'}","{'tid': 6, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [6], 'dropout': [6], 'epochs': [6], 'lr': [6], 'units': [6]}, 'vals': {'batch_size': [1], 'dropout': [0.2137144474633791], 'epochs': [0], 'lr': [0.0023332790383697125], 'units': [2]}}"
7,2,"{'loss': 0.07870107972644226, 'status': 'ok'}","{'tid': 7, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [7], 'dropout': [7], 'epochs': [7], 'lr': [7], 'units': [7]}, 'vals': {'batch_size': [0], 'dropout': [0.31776386839186355], 'epochs': [1], 'lr': [0.004100101598651826], 'units': [0]}}"
8,2,"{'loss': 0.0779208500279183, 'status': 'ok'}","{'tid': 8, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [8], 'dropout': [8], 'epochs': [8], 'lr': [8], 'units': [8]}, 'vals': {'batch_size': [0], 'dropout': [0.26179938190490976], 'epochs': [0], 'lr': [0.0021365007524279007], 'units': [0]}}"
9,2,"{'loss': 0.07978368027773325, 'status': 'ok'}","{'tid': 9, 'cmd': ['domain_attachment', 'FMinIter_Domain'], 'workdir': None, 'idxs': {'batch_size': [9], 'dropout': [9], 'epochs': [9], 'lr': [9], 'units': [9]}, 'vals': {'batch_size': [0], 'dropout': [0.36799618936444456], 'epochs': [1], 'lr': [0.004573355999684523], 'units': [2]}}"
